Year,raw data
0.04,2.55264
0.08,3.35504
0.12,7.38891
0.16,1.39495
0.2,2.21676
0.24,2.59007
0.28,1.95122
0.32,2.03265
0.36,1.74087
0.4,1.13488
0.44,1.67283
0.48,2.18819
0.52,2.1373
0.56,1.81897
0.6,1.54345
0.64,2.19055
0.68,2.67991
0.72,1.87772
0.76,1.4058
0.8,1.56637
0.84,1.13857
0.88,6.32051
0.92,4.35966
0.96,5.54013
1.04,1.40537
1.08,1.70492
1.12,1.45305
1.16,1.78842
1.2,2.21089
1.24,2.01064
1.28,2.10703
1.32,2.19737
1.36,1.8606
1.4,1.6013
1.44,1.58159
1.48,1.22405
1.52,6.16515
1.56,1.76516
1.6,2.0624
1.64,3.94262
1.68,6.2214
1.72,7.75691
1.76,9.0393
1.8,9.85285
1.84,8.91514
1.88,5.90179
1.92,1.7713
1.96,1.45802
2,1.94984
2.04,1.73283
2.08,3.72713
2.12,4.00407
2.16,2.72047
2.2,6.28054
2.24,8.3736
2.28,6.4143
2.32,3.60268
2.36,3.59152
2.4,2.904
2.44,7.07562
2.48,1.77006
2.52,1.96802
2.56,1.39056
2.6,1.26179
2.64,6.15825
2.68,2.74366
2.72,3.5432
2.76,3.96321
2.8,5.95639
2.84,7.79786
2.88,8.25108
2.92,7.88054
2.96,6.88836
3,5.08089
3.04,4.35265
3.08,4.35608
3.12,3.83839
3.16,4.03032
3.2,4.34572
3.24,2.77267
3.28,8.21303
3.32,2.55807
3.36,1.97763
3.4,1.9043
3.44,9.19472
3.48,1.53588
3.52,2.07358
3.56,2.90524
3.6,3.15498
3.64,3.02992
3.68,3.31192
3.72,3.64089
3.76,3.81228
3.8,3.95377
3.84,3.36154
3.88,3.22673
3.92,3.34617
3.96,2.06257
4,7.12285
4.04,5.93841
4.08,1.04119
4.12,7.85026
4.16,1.04174
4.2,1.98929
4.24,1.90837
4.28,1.00652
4.32,1.1406
4.36,1.23512
4.4,1.32053
4.44,2.09461
4.48,3.61079
4.52,3.48074
4.56,1.99579
4.6,6.15825
4.64,1.38339
4.68,2.79216
4.72,3.1992
4.76,2.94634
4.8,2.56561
4.84,1.99417
4.88,1.31466
4.92,7.17299
4.96,8.10676
5,6.88513
5.04,1.2948
5.08,1.42148
5.12,4.71653
5.16,4.59736
5.2,2.82861
5.24,3.99158
5.28,1.32447
5.32,1.81036
5.36,1.226
5.4,1.00468
5.44,1.70891
5.48,1.37248
5.52,1.83113
5.56,1.34311
5.6,1.04849
5.64,1.31386
5.68,1.62797
5.72,1.24695
5.76,8.48584
5.8,1.19448
5.84,1.42148
5.88,8.37613
5.92,1.40199
5.96,5.10049
6,1.18749
6.04,1.97014
6.08,1.94087
6.12,1.53294
6.16,2.03298
6.2,2.14328
6.24,1.52044
6.28,1.81731
6.32,1.98341
6.36,1.14939
6.4,3.40032
6.44,1.67964
6.48,2.3212
6.52,6.80065
6.56,8.68914
6.6,8.36369
6.64,6.57943
6.68,4.09453
6.72,2.99923
6.76,1.94741
6.8,6.89017
6.84,9.66075
6.88,1.10173
